Site_name,Date,Stage,is.explo
Poteau_rural,16/05/2014,a,0
Poteau_rural,16/05/2014,a,0
Poteau_rural,16/05/2014,s,1
Poteau_rural,16/05/2014,a,0
Poteau_rural,16/05/2014,s,1
AppartCity,16/05/2014,s,0
AppartCity,16/05/2014,s,1
AppartCity,16/05/2014,s,0
AppartCity,16/05/2014,a,0
AppartCity,16/05/2014,a,0
AppartCity,16/05/2014,a,0
AppartCity,16/05/2014,a,1
AppartCity,16/05/2014,a,0
AppartCity,16/05/2014,a,0
Leonard,16/05/2014,a,0
Leonard,16/05/2014,s,1
Leonard,16/05/2014,a,1
Leonard,16/05/2014,a,1
Lande_du_Breuil,16/05/2014,a,1
Lande_du_Breuil,16/05/2014,a,1
Lande_du_Breuil,16/05/2014,s,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,a,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,1
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,1
Friche_rurale,16/05/2014,s,1
Friche_rurale,16/05/2014,a,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,s,1
Friche_rurale,16/05/2014,s,0
Friche_rurale,16/05/2014,a,0
Friche_rurale,16/05/2014,s,0
Bruyere_parc,16/05/2014,s,1
Bruyere_parc,16/05/2014,a,0
Bruyere_parc,16/05/2014,s,0
Bruyere_parc,16/05/2014,s,1
Bruyere_parc,16/05/2014,a,0
Bruyere_parc,16/05/2014,a,0
PrairieBeauregard,16/05/2014,a,0
PrairieBeauregard,16/05/2014,a,0
PrairieBeauregard,16/05/2014,a,0
PrairieBeauregard,16/05/2014,s,0
Cucille_U_Sud,17/05/2014,s,0
Cucille_U_Sud,17/05/2014,s,1
Cucille_U_Sud,17/05/2014,s,0
NO_Aulnette,17/05/2014,s,0
NO_Aulnette,17/05/2014,s,0
NO_Aulnette,17/05/2014,a,0
NO_Aulnette,17/05/2014,a,0
Bambou,17/05/2014,a,1
Bambou,17/05/2014,s,0
Bambou,17/05/2014,s,1
Bambou,17/05/2014,a,0
Bambou,17/05/2014,s,0
Bambou,17/05/2014,a,1
Bambou,17/05/2014,a,1
Bambou,17/05/2014,a,1
Bambou,17/05/2014,s,1
Bambou,17/05/2014,s,0
Bambou,17/05/2014,s,0
Bambou,17/05/2014,s,1
Bambou,17/05/2014,s,1
Bambou,17/05/2014,s,0
Bambou,17/05/2014,s,0
Bambou,17/05/2014,s,1
Bambou,17/05/2014,s,1
Cucille_3_Sud,17/05/2014,a,0
Cucille_3_Nord,18/05/2014,a,0
