Site_name,Date,Stage,Distance,Hedge,Angle
Friche_rurale,27/05/2014,s,0.2,FALSE,60
Friche_rurale,27/05/2014,s,1,FALSE,80
Friche_rurale,27/05/2014,s,2.5,FALSE,80
Friche_rurale,27/05/2014,s,5,FALSE,90
Cucille_U_Nord,27/05/2014,s,0.2,FALSE,40
Cucille_U_Nord,27/05/2014,s,1,FALSE,0
Cucille_U_Nord,27/05/2014,s,2.5,FALSE,40
Cucille_U_Nord,27/05/2014,s,5,FALSE,50
Cucille_U_Nord,27/05/2014,a,0.2,FALSE,80
Cucille_U_Nord,27/05/2014,a,1,FALSE,55
Cucille_U_Nord,27/05/2014,s,2.5,FALSE,130
Cucille_U_Nord,27/05/2014,s,5,FALSE,140
Cucille_U_Nord,27/05/2014,s,0.2,FALSE,60
Cucille_U_Nord,27/05/2014,a,1,FALSE,170
Cucille_U_Nord,27/05/2014,s,2.5,FALSE,140
Cucille_U_Nord,27/05/2014,s,5,FALSE,90
Bambou,27/05/2014,s,0.2,FALSE,10
AppartCity,27/05/2014,a,1,FALSE,80
AppartCity,27/05/2014,a,2.5,FALSE,45
AppartCity,27/05/2014,s,5,FALSE,50
Bambou,27/05/2014,s,0.2,FALSE,60
Bambou,27/05/2014,a,1,FALSE,90
Bambou,27/05/2014,s,2.5,FALSE,120
Bambou,27/05/2014,s,5,FALSE,90
Lande_du_Breuil,27/05/2014,s,0.2,TRUE,70
PrairieBeauregard,27/05/2014,s,1,TRUE,80
Poteau_rural,27/05/2014,a,2.5,TRUE,90
Poteau_rural,27/05/2014,a,5,TRUE,180
Cucille_3_Nord,27/05/2014,s,0.2,TRUE,0
Cucille_U_Nord,27/05/2014,a,1,TRUE,5
Cucille_3_Nord,27/05/2014,a,2.5,TRUE,80
Cucille_3_Nord,27/05/2014,a,5,TRUE,170
Cucille_U_Nord,27/05/2014,s,0.2,TRUE,5
Cucille_U_Nord,27/05/2014,s,1,TRUE,25
Cucille_U_Nord,27/05/2014,s,2.5,TRUE,0
